index,name,parent,posx,posy,posz,rotx,roty,rotz,scalex,scaley,scalez
37,mushroom,34,-1.14,-0.36,-0.492,348.9807,214.2359,345.702,0.3,0.3,0.3
38,mushroom,34,-0.33,-1.51,-0.512,348.9807,214.2359,345.702,0.3,0.3,0.3
39,mushroom,34,-0.79,1.2,-0.562,348.9807,214.2359,345.702,0.3,0.3,0.3
40,mushroom,34,1.63,-1.46,-0.632,348.9807,214.2359,345.702,0.3,0.3,0.3
41,mushroom,34,1.42,0.64,-0.552,348.9807,214.2359,345.702,0.3,0.3,0.3
42,flower,34,-3.618,-0.605,-0.783,273.085,110.2222,301.7706,30,150,1
43,flower,34,-3.15,4.81,-0.36,273.085,110.2222,301.7706,30,150,1
44,tree (5),1,-90.47342,22.83308,0.4999995,270,90,0,2,2,0.6999999
45,leaves,44,38.50253,-63.89223,30.21465,0.004849648,294.9246,3.68994,5,3,5
46,mushroom,44,-1.79,0.58,-0.482,348.9807,304.236,345.702,0.3,0.3,0.3
47,mushroom,44,-1.14,-0.36,-0.492,348.9807,304.236,345.702,0.3,0.3,0.3
48,mushroom,44,-0.33,-1.51,-0.512,348.9807,304.236,345.702,0.3,0.3,0.3
49,mushroom,44,-0.79,1.2,-0.562,348.9807,304.236,345.702,0.3,0.3,0.3
50,mushroom,44,1.63,-1.46,-0.632,348.9807,304.236,345.702,0.3,0.3,0.3
51,mushroom,44,1.42,0.64,-0.552,348.9807,304.236,345.702,0.3,0.3,0.3
52,flower,44,2.542974,0.3988317,0.1411201,273.085,200.2222,301.7706,30,150,1
53,flower,44,-3.15,4.808,-0.47,273.085,200.2222,301.7706,30,150,1
54,tree (6),1,-112.589,-6.386852,0.5000019,270,90,0,1.399999,2,0.6999999
55,leaves,54,38.50253,-63.89223,30.21465,0.004849648,294.9246,3.68994,5,3,5
56,flower,54,2.542974,0.3988317,0.1411201,273.085,200.2222,301.7706,30,150,1
57,flower,54,-3.15,4.808,-0.47,273.085,200.2222,301.7706,30,150,1
58,tree (7),1,-67.52204,-40.4966,2.960005,270,90,0,1.399999,2,0.6999999
59,leaves,58,38.50253,-63.89223,30.21465,0.004849648,294.9246,3.68994,5,3,5
60,mushroom,58,-1.79,0.58,-0.482,348.9807,304.236,345.702,0.3,0.3,0.3
61,mushroom,58,-1.14,-0.36,-0.492,348.9807,304.236,345.702,0.3,0.3,0.3
62,mushroom,58,-0.33,-1.51,-0.512,348.9807,304.236,345.702,0.3,0.3,0.3
63,mushroom,58,-0.79,1.2,-0.562,348.9807,304.236,345.702,0.3,0.3,0.3
64,mushroom,58,1.63,-1.46,-0.632,348.9807,304.236,345.702,0.3,0.3,0.3
65,mushroom,58,1.42,0.64,-0.552,348.9807,304.236,345.702,0.3,0.3,0.3
66,flower,58,2.542974,0.3988317,0.1411201,273.085,200.2222,301.7706,30,150,1
67,flower,58,-3.15,4.808,-0.47,273.085,200.2222,301.7706,30,150,1
68,tree (8),1,2.329372,-102.8712,0.3000116,270,90,0,1.399999,2,0.6999999
69,leaves,68,38.50253,-63.89223,30.21465,0.004849648,294.9246,3.68994,5,3,5
70,mushroom,68,-1.79,0.58,-0.482,348.9807,304.236,345.702,0.3,0.3,0.3
71,mushroom,68,-1.14,-0.36,-0.492,348.9807,304.236,345.702,0.3,0.3,0.3
72,mushroom,68,-0.33,-1.51,-0.512,348.9807,304.236,345.702,0.3,0.3,0.3
73,mushroom,68,-0.79,1.2,-0.562,348.9807,304.236,345.702,0.3,0.3,0.3
74,mushroom,68,1.63,-1.46,-0.632,348.9807,304.236,345.702,0.3,0.3,0.3
75,mushroom,68,1.42,0.64,-0.552,348.9807,304.236,345.702,0.3,0.3,0.3
76,flower,68,2.542974,0.3988317,0.1411201,273.085,200.2222,301.7706,30,150,1
77,flower,68,-3.15,4.808,-0.47,273.085,200.2222,301.7706,30,150,1
78,tree (9),1,22.84253,-90.78092,0,270,245,0,6,6,3
79,mushroom,1,58.57413,-47.66175,-0.090404,-2.452604E-06,153.196,-2.926315E-06,16.84141,8.420711,16.84141
80,Sphere,79,-0.2092882,1.293937,-0.01538468,280.7496,230.754,281.368,84.90099,84.90096,41.8688
81,Sphere_001,79,-0.314,0.777,-0.871,273.3824,30.44236,121.5366,53.28781,49.26727,36.03573
82,Sphere_002,79,0.4630666,0.7024698,0.6989431,277.1498,222.4051,302.0538,39.67632,45.63155,20.89611
83,Sphere_003,79,-0.4648719,0.5198514,0.7720561,279.2441,157.8564,350.0964,37.84793,37.84792,23.98665
84,flower2,1,-46.17649,-70.3224,0.7900047,270.6667,246.9993,94.35676,81.57638,568.3495,1.000068
85,flower2 (1),1,-28.84461,-80.4304,0.6800032,270.6667,246.9993,94.35676,81.57638,568.3495,1.000068
